#CpG,Coefficient estimate (slope),Standard error,p value,Bonferroni p,q value (FDR),Gene
cpg,beta,std.err,p.value,bonferroni,fdr,gene
cg15323253,-0.0004483925,0.0001186144,0.0001654761,1.00E+00,0.0029561914,NA
cg12907959,-0.00020086,5.31E-05,0.0001656706,1.00E+00,0.0029594812,APOL3
cg19112275,-0.0004812848,0.0001273266,0.0001656918,1.00E+00,0.0029596745,ITPR2
cg01598741,-0.0006467513,0.0001711079,0.0001657817,1.00E+00,0.0029610963,HMGA2
cg20176648,-0.0003012021,7.97E-05,0.0001658623,1.00E+00,0.0029622874,AQP1
cg16101543,-0.0002215596,5.86E-05,0.0001658691,1.00E+00,0.0029622874,NA
cg15393022,-0.0001630752,4.31E-05,0.0001658867,1.00E+00,0.0029624159,SSBP3
cg10365597,-0.0003183686,8.42E-05,0.0001659317,1.00E+00,0.0029630349,NA
cg08942499,-0.0004074381,0.0001078039,0.0001660297,1.00E+00,0.0029645987,SKI
cg02016178,-0.0002389219,6.32E-05,0.0001660606,1.00E+00,0.0029649655,NLRC3
cg11631579,-0.0003460023,9.16E-05,0.000166072,1.00E+00,0.0029649845,DTWD2
cg24051057,-0.0001086968,2.88E-05,0.0001661534,1.00E+00,0.0029662517,CCDC80
cg01502876,-0.0001069417,2.83E-05,0.0001662002,1.00E+00,0.0029669026,METRNL
cg22227433,-0.0002199126,5.82E-05,0.0001663161,1.00E+00,0.0029687864,NA
cg21935981,0.0002706547,7.16E-05,0.0001663516,1.00E+00,0.0029692339,KIAA0930
cg10057295,-0.0002868005,7.59E-05,0.0001664195,1.00E+00,0.0029702606,STK24
cg18962786,-0.0005227941,0.0001383521,0.0001664918,1.00E+00,0.0029713645,NUBPL
cg24995008,-0.0001442672,3.82E-05,0.0001665783,1.00E+00,0.0029727237,STARD13
cg11636504,-0.0003635277,9.62E-05,0.0001666014,1.00E+00,0.0029729355,KIAA1211L
cg06783197,-0.0003269011,8.65E-05,0.000166611,1.00E+00,0.0029729355,PACS2
cg07380021,-0.0004757163,0.0001259021,0.000166663,1.00E+00,0.0029735896,RASSF5
cg11942603,-0.0003364596,8.90E-05,0.0001666684,1.00E+00,0.0029735896,ANXA4
cg13568106,0.0006043032,0.0001599347,0.0001666802,1.00E+00,0.002973614,NA
cg13935577,0.0008494424,0.0002248156,0.0001666975,1.00E+00,0.0029737359,BTBD11
cg14247444,-0.0001000814,2.65E-05,0.0001668301,1.00E+00,0.0029759162,NA
cg15750941,-0.0001378788,3.65E-05,0.0001668479,1.00E+00,0.002976048,KNDC1
cg20964064,-0.0006965179,0.000184366,0.0001670201,1.00E+00,0.0029789336,KCNQ2
cg13613748,-8.41E-05,2.23E-05,0.0001670403,1.00E+00,0.0029790203,VPS4B
cg00584089,-0.0002606766,6.90E-05,0.0001670458,1.00E+00,0.0029790203,NA
cg02738255,-0.0002003056,5.30E-05,0.0001670897,1.00E+00,0.0029794819,PYGB
cg11217193,-0.0004159505,0.0001101039,0.0001670925,1.00E+00,0.0029794819,VPS13D
cg16414052,-0.0001984239,5.25E-05,0.0001671358,1.00E+00,0.0029799418,CRAMP1L
cg12895370,-0.0003199193,8.47E-05,0.0001671392,1.00E+00,0.0029799418,ACRBP
cg21739049,-0.0002933214,7.76E-05,0.0001672456,1.00E+00,0.0029816536,SIPA1L3
cg23375948,-0.0001810471,4.79E-05,0.0001672817,1.00E+00,0.00298211,MAD1L1
cg07364646,0.0003041044,8.05E-05,0.0001673243,1.00E+00,0.002982684,NA
cg03548415,-0.0004763682,0.000126111,0.0001673746,1.00E+00,0.0029833945,NA
cg06114987,0.0003346751,8.86E-05,0.0001674508,1.00E+00,0.0029845672,FOXL1
cg00207352,0.0002332034,6.17E-05,0.0001675595,1.00E+00,0.0029863181,PLXNB1
cg19550034,0.0004182476,0.000110734,0.0001675981,1.00E+00,0.0029868195,NA
cg07144984,-0.0006360459,0.0001684005,0.0001676324,1.00E+00,0.0029872447,ZBTB20
cg17046756,-0.0002339066,6.19E-05,0.0001676718,1.00E+00,0.0029877612,SYT8
cg02250259,-0.0003060416,8.10E-05,0.0001677608,1.00E+00,0.0029891602,NA
cg23696248,-0.0001787873,4.73E-05,0.000168047,1.00E+00,0.0029940738,BCL3
cg00042611,-0.0002562517,6.79E-05,0.0001680835,1.00E+00,0.0029945373,CCDC135
cg01144283,0.0001329134,3.52E-05,0.0001680989,1.00E+00,0.002994624,TECPR2
cg04005059,-0.0005377445,0.0001424035,0.0001681525,1.00E+00,0.0029953619,KLHL29
cg21135616,-0.0002397751,6.35E-05,0.0001681613,1.00E+00,0.0029953619,HDAC4
cg06271561,-0.0003820662,0.0001011784,0.0001681786,1.00E+00,0.0029954848,ALPK3
cg19240213,0.0002316768,6.14E-05,0.0001682196,1.00E+00,0.0029960279,HOXA3
cg01256681,-0.0002007973,5.32E-05,0.0001682318,1.00E+00,0.0029960575,GTPBP3
cg24720008,0.0005560872,0.0001472705,0.000168315,1.00E+00,0.0029973534,NA
cg04904784,-0.0004506392,0.0001193449,0.0001683266,1.00E+00,0.0029973733,NA
cg01869233,0.0005628884,0.0001490745,0.0001683621,1.00E+00,0.0029978181,LRRN4
cg08831077,-0.0001957946,5.19E-05,0.0001683733,1.00E+00,0.0029978318,HRH1
cg03124636,-0.0001158827,3.07E-05,0.0001683934,1.00E+00,0.0029980017,NA
cg21578541,-0.0003261911,8.64E-05,0.0001684201,1.00E+00,0.0029982916,TLR9
cg15656686,0.0005544923,0.0001468551,0.0001684341,1.00E+00,0.0029983531,DDR1
cg19088856,-0.0001162519,3.08E-05,0.0001685854,1.00E+00,0.0030008601,HRNR
cg07572435,-0.0001772959,4.70E-05,0.0001686127,1.00E+00,0.0030011587,LY6D
cg12820608,-9.65E-05,2.56E-05,0.0001687417,1.00E+00,0.0030032672,RARG
cg09176199,-0.0007542224,0.0001997808,0.0001687958,1.00E+00,0.0030040431,SMYD3
cg00999858,-0.0003427489,9.08E-05,0.0001688207,1.00E+00,0.0030043004,MAN1C1
cg01487981,-0.0001624468,4.30E-05,0.0001689584,1.00E+00,0.0030065583,SLC18B1
cg10976218,0.0003319993,8.79E-05,0.0001689749,1.00E+00,0.0030065583,RASA3
cg05073880,-0.0001976822,5.24E-05,0.0001689792,1.00E+00,0.0030065583,ZNF767
cg20651389,0.000502811,0.0001332021,0.0001690987,1.00E+00,0.0030083584,GP6
cg03014934,0.0002851731,7.55E-05,0.0001691014,1.00E+00,0.0030083584,NA
cg11133161,-0.0002077818,5.50E-05,0.0001691209,1.00E+00,0.0030084619,NA
cg14382215,-0.0002991997,7.93E-05,0.0001691304,1.00E+00,0.0030084619,NA
cg07857225,-0.0001368947,3.63E-05,0.0001691465,1.00E+00,0.0030084619,PLXND1
cg14074581,-0.0001463791,3.88E-05,0.0001691493,1.00E+00,0.0030084619,IGFLR1
cg05423100,-0.0002592231,6.87E-05,0.0001691943,1.00E+00,0.0030090751,NA
cg19183325,-0.0001751438,4.64E-05,0.0001692381,1.00E+00,0.0030096668,FBRSL1
cg01492470,-0.0001072052,2.84E-05,0.0001692629,1.00E+00,0.0030098509,NA
cg23114262,-0.0001039497,2.75E-05,0.0001692695,1.00E+00,0.0030098509,ADAM8
cg09761367,-0.0001676634,4.44E-05,0.0001692935,1.00E+00,0.0030100892,NA
cg25001190,-0.0003743033,9.92E-05,0.0001694438,1.00E+00,0.0030125741,NFIA
cg10043593,-0.0001104782,2.93E-05,0.0001694744,1.00E+00,0.0030129308,MAPK8IP3
cg10780949,-0.0004031543,0.0001068197,0.0001695285,1.00E+00,0.0030135353,SMAD3
cg07335189,-7.69E-05,2.04E-05,0.0001695295,1.00E+00,0.0030135353,NA
cg18299793,-0.0001537289,4.07E-05,0.0001695476,1.00E+00,0.0030136711,ADAMTS2
cg26540630,-0.0002441906,6.47E-05,0.0001696656,1.00E+00,0.0030155808,ADARB2
cg04730372,-0.0001306729,3.46E-05,0.0001698938,1.00E+00,0.003019448,NA
cg00079023,0.0003345096,8.86E-05,0.0001699121,1.00E+00,0.0030195865,PURA
cg12462720,-0.0003657766,9.69E-05,0.0001699534,1.00E+00,0.003019974,NPBWR2
cg12311733,-0.0002228021,5.90E-05,0.0001699551,1.00E+00,0.003019974,NA
cg14799696,-0.0001802451,4.78E-05,0.0001699723,1.00E+00,0.0030200916,PTPRN2
cg13998369,-0.0001700699,4.51E-05,0.0001700291,1.00E+00,0.0030209135,NA
cg10386887,-0.0001927208,5.11E-05,0.0001700532,1.00E+00,0.0030211099,NA
cg03915055,-0.000515869,0.0001367138,0.0001700613,1.00E+00,0.0030211099,CYTIP
cg05139515,-0.0001677205,4.44E-05,0.000170074,1.00E+00,0.0030211481,NA
cg20419545,-0.0001450911,3.85E-05,0.0001702016,1.00E+00,0.0030232277,IGFBP5
cg15765724,-0.0001140679,3.02E-05,0.0001702123,1.00E+00,0.0030232286,GBX2
cg17014186,0.0003582209,9.49E-05,0.0001702528,1.00E+00,0.0030237597,MOSPD3
cg22964926,-0.0004829981,0.0001280167,0.000170344,1.00E+00,0.0030249989,NA
cg09517283,-0.000222401,5.89E-05,0.0001703496,1.00E+00,0.0030249989,LINC00271
cg08290628,-0.0003273654,8.68E-05,0.0001703543,1.00E+00,0.0030249989,CORO2B
cg18585314,-0.0002922203,7.75E-05,0.0001704854,1.00E+00,0.003027139,UNC5A
cg13910594,-0.0003212409,8.52E-05,0.0001706827,1.00E+00,0.0030302749,GPR161
cg13925890,-8.39E-05,2.23E-05,0.0001706832,1.00E+00,0.0030302749,FGF18
cg14832954,-0.0005803515,0.0001538447,0.000170764,1.00E+00,0.0030315213,RTCA
cg02345399,-0.0003856095,0.0001022224,0.0001707947,1.00E+00,0.0030318777,NA
cg11212312,-0.0001762919,4.67E-05,0.0001708408,1.00E+00,0.003032507,IL3
cg02486145,0.0006925844,0.0001836055,0.0001708821,1.00E+00,0.0030330519,NA
cg14209047,-0.0002265674,6.01E-05,0.0001709111,1.00E+00,0.0030333787,NA
cg12743970,0.0003652814,9.68E-05,0.000170926,1.00E+00,0.0030334551,PRKCA
cg06285727,-0.0004024506,0.0001066963,0.0001710225,1.00E+00,0.003034979,ATG16L2
cg04011470,-0.0001734255,4.60E-05,0.0001711011,1.00E+00,0.003036186,PHYHIP
cg27107110,-0.0001581228,4.19E-05,0.000171197,1.00E+00,0.0030376986,LDLRAD4
cg18417061,-0.0002393608,6.35E-05,0.0001712091,1.00E+00,0.0030377246,PRKCH
cg25640519,-0.0001966647,5.21E-05,0.0001712688,1.00E+00,0.0030385948,GRK7
cg12334013,-0.0005705191,0.0001512771,0.0001714105,1.00E+00,0.0030409197,EEPD1
cg10805856,-0.0004923544,0.000130561,0.0001716027,1.00E+00,0.0030441418,NA
cg20407483,-0.0001759857,4.67E-05,0.0001717024,1.00E+00,0.0030457217,NA
cg10818339,-0.0001260001,3.34E-05,0.0001717577,1.00E+00,0.0030465133,AVPR1B
cg02302089,-0.0005197132,0.0001378277,0.0001718224,1.00E+00,0.003047472,IGF2BP3
cg05286653,-0.0005350906,0.00014191,0.0001718971,1.00E+00,0.0030486064,HIF3A
cg21470947,-0.0004176661,0.0001107746,0.0001720563,1.00E+00,0.0030512403,HLA-DMB
cg10012623,0.0003442976,9.13E-05,0.0001721803,1.00E+00,0.00305325,NA
cg02927682,-0.000311186,8.25E-05,0.0001723813,1.00E+00,0.0030562757,SSBP3
cg05943836,0.0002766065,7.34E-05,0.0001723885,1.00E+00,0.0030562757,NA
cg08553857,-0.0001277085,3.39E-05,0.0001723951,1.00E+00,0.0030562757,WDR18
cg08324925,-0.0003608351,9.57E-05,0.0001724043,1.00E+00,0.0030562757,CSF2
cg04772818,-0.0002048399,5.43E-05,0.0001724044,1.00E+00,0.0030562757,CSRP1
cg09591830,-0.0002482534,6.59E-05,0.0001724496,1.00E+00,0.0030568885,NA
cg26156154,-0.0001975104,5.24E-05,0.000172488,1.00E+00,0.0030573787,NA
cg01833890,0.0003174461,8.42E-05,0.0001725037,1.00E+00,0.0030574685,CACNA1C
cg09464728,0.0002901164,7.70E-05,0.0001726627,1.00E+00,0.0030599212,CYGB
cg03732535,0.0002443427,6.48E-05,0.0001726635,1.00E+00,0.0030599212,LAMB2
cg08554440,0.0003201204,8.49E-05,0.0001726969,1.00E+00,0.0030600023,NA
cg02467154,-0.0002804042,7.44E-05,0.0001727002,1.00E+00,0.0030600023,NA
cg08835688,-0.0005368352,0.0001424177,0.0001727096,1.00E+00,0.0030600023,GRB10
cg12728621,0.0004113479,0.0001091271,0.0001727109,1.00E+00,0.0030600023,EPB41L1
cg15829728,-0.0002939652,7.80E-05,0.0001727346,1.00E+00,0.0030602321,NA
cg04436889,-8.35E-05,2.22E-05,0.0001728117,1.00E+00,0.0030614081,LPIN1
cg05575213,-0.0001284999,3.41E-05,0.0001728829,1.00E+00,0.0030624796,NA
cg19726343,-0.0002218567,5.89E-05,0.0001729267,1.00E+00,0.0030630661,CAMTA1
cg24109739,-0.0010171802,0.0002698775,0.0001729816,1.00E+00,0.0030638476,LRP5
cg14827807,-0.0003508928,9.31E-05,0.0001730037,1.00E+00,0.003064049,CERS2
cg03313126,0.0002805081,7.44E-05,0.0001730448,1.00E+00,0.003064587,ALLC
cg01262667,-0.0003055529,8.11E-05,0.0001730615,1.00E+00,0.003064693,TM6SF2
cg25577367,0.0005997736,0.0001591426,0.0001731616,1.00E+00,0.0030660878,OR6M1
cg17838816,-0.0002218634,5.89E-05,0.0001731617,1.00E+00,0.0030660878,KNDC1
cg07194984,-0.0002753541,7.31E-05,0.000173308,1.00E+00,0.0030684525,NA
cg19095143,-0.0001628726,4.32E-05,0.0001733167,1.00E+00,0.0030684525,TEX264
cg10169364,-0.0002495849,6.62E-05,0.0001733383,1.00E+00,0.0030686453,NA
cg14695751,0.0003657931,9.71E-05,0.0001734538,1.00E+00,0.0030704995,CDK15
cg11157771,-0.000140329,3.72E-05,0.0001735029,1.00E+00,0.003071022,TRPV1
cg00117599,0.0002620336,6.95E-05,0.0001735084,1.00E+00,0.003071022,NA
cg13942283,-0.0005689773,0.0001509903,0.0001735156,1.00E+00,0.003071022,RBM20
cg14501119,-0.0002341693,6.21E-05,0.0001736184,1.00E+00,0.0030726525,NA
cg06269035,-0.0001811409,4.81E-05,0.0001736559,1.00E+00,0.0030731161,CRAMP1L
cg06589051,-0.0002791335,7.41E-05,0.0001736661,1.00E+00,0.0030731161,TGFBRAP1
cg24669191,-0.000153446,4.07E-05,0.0001737111,1.00E+00,0.0030737209,ACTRT2
cg08427717,-0.0001258587,3.34E-05,0.0001737977,1.00E+00,0.0030750634,ICAM1
cg19750282,0.0003321236,8.81E-05,0.0001738383,1.00E+00,0.0030755916,NA
cg15126957,-0.0002247686,5.97E-05,0.0001738936,1.00E+00,0.0030760379,SQSTM1
cg11548978,-0.0002175065,5.77E-05,0.0001738988,1.00E+00,0.0030760379,NA
cg17467525,-0.000750256,0.0001991287,0.0001739061,1.00E+00,0.0030760379,NA
cg04643969,-0.0003369494,8.94E-05,0.0001739114,1.00E+00,0.0030760379,OTUB1
cg23184556,0.0005246202,0.0001392423,0.0001739173,1.00E+00,0.0030760379,MYLK
cg01507342,-0.0008905519,0.0002363705,0.0001739645,1.00E+00,0.0030766817,PITPNC1
cg16508068,-0.000184781,4.90E-05,0.0001739973,1.00E+00,0.0030770714,HHEX
cg21693907,-8.57E-05,2.28E-05,0.0001740532,1.00E+00,0.00307787,ATP2B4
cg10400081,-0.0001729552,4.59E-05,0.0001741178,1.00E+00,0.0030788214,NA
cg21029761,-0.0002691546,7.14E-05,0.0001742068,1.00E+00,0.0030802037,NA
cg18705098,-0.000190594,5.06E-05,0.0001742413,1.00E+00,0.0030806127,NA
cg16583863,-0.0001720386,4.57E-05,0.0001742515,1.00E+00,0.0030806127,MVP
cg11963365,-0.0003422327,9.09E-05,0.0001743938,1.00E+00,0.003082938,KIAA0141
cg14605590,0.0003018737,8.01E-05,0.0001745929,1.00E+00,0.003086267,LOC100128076
cg09480855,-0.0002696681,7.16E-05,0.0001746098,1.00E+00,0.0030863745,TXNDC11
cg01107178,-0.0002445298,6.49E-05,0.0001746286,1.00E+00,0.0030865166,ANKRD11
cg14266156,-0.0003137371,8.33E-05,0.0001746394,1.00E+00,0.0030865176,NA
cg17810765,0.000465606,0.0001236143,0.0001746678,1.00E+00,0.003086827,ANO7
cg25999674,-0.0001661885,4.41E-05,0.0001747615,1.00E+00,0.0030882936,C19orf47
cg01186980,-0.0002767131,7.35E-05,0.0001748139,1.00E+00,0.0030890282,NA
cg13914531,-0.0003436214,9.12E-05,0.0001749513,1.00E+00,0.0030912643,IRF5
cg22052720,-0.0002846444,7.56E-05,0.0001749954,1.00E+00,0.0030918531,ST3GAL4
cg13790259,-0.0001696859,4.51E-05,0.0001750152,1.00E+00,0.0030920118,DEDD2
cg08426951,-0.0001886787,5.01E-05,0.0001751827,1.00E+00,0.0030947797,NA
cg00498401,-0.0003200863,8.50E-05,0.0001751954,1.00E+00,0.0030948127,EVPL
cg01690573,-0.0001956794,5.20E-05,0.0001752078,1.00E+00,0.0030948396,RMND1
cg00778190,-0.00043011,0.00011422,0.0001753323,1.00E+00,0.0030965416,NA
cg22909296,0.0004769188,0.0001266503,0.000175336,1.00E+00,0.0030965416,NA
cg14519518,-0.0002401932,6.38E-05,0.0001753366,1.00E+00,0.0030965416,NA
cg02678414,-9.23E-05,2.45E-05,0.000175525,1.00E+00,0.0030996762,TRAF7
cg17579089,0.0003148562,8.36E-05,0.0001755385,1.00E+00,0.003099723,KIF9
cg02702693,0.0002843107,7.55E-05,0.0001755657,1.00E+00,0.0031000123,NA
cg13617301,-0.0002383743,6.33E-05,0.0001755865,1.00E+00,0.0031001888,JAG2
cg20694820,-0.0001223289,3.25E-05,0.0001757165,1.00E+00,0.0031021657,LIMS2
cg19279346,0.0004283049,0.0001137576,0.0001757202,1.00E+00,0.0031021657,LILRB2
cg21241424,0.0003162451,8.40E-05,0.0001757345,1.00E+00,0.0031022271,CCDC33
cg13700912,-0.0003196132,8.49E-05,0.0001758221,1.00E+00,0.0031035815,MAD1L1
cg09781936,0.0002545799,6.76E-05,0.0001758566,1.00E+00,0.0031039978,TBX1
cg25255988,-0.0002534764,6.73E-05,0.0001758949,1.00E+00,0.0031044821,MOGAT2
cg18864124,-0.0004071428,0.0001081447,0.0001759083,1.00E+00,0.003104527,NA
cg20985037,-0.0002452574,6.51E-05,0.0001760148,1.00E+00,0.0031061136,DKFZp566F0947
cg20208009,-0.0004150584,0.0001102512,0.0001760215,1.00E+00,0.0031061136,ARVCF
cg03252709,0.0002626532,6.98E-05,0.0001760308,1.00E+00,0.0031061136,NA
cg13652281,-0.0001019596,2.71E-05,0.0001760427,1.00E+00,0.0031061324,HEXDC
cg15007123,-0.0002927209,7.78E-05,0.0001760623,1.00E+00,0.0031062869,FAM109A
cg21639031,0.0003815059,0.0001013425,0.0001761001,1.00E+00,0.0031067616,NA
cg04295372,0.0004771053,0.0001267382,0.0001761179,1.00E+00,0.0031068837,VCAM1
cg03646261,-0.0001259661,3.35E-05,0.0001762005,1.00E+00,0.0031081493,SIX2
cg18886147,-0.000142925,3.80E-05,0.0001762277,1.00E+00,0.0031084369,LINC00942
cg07013955,-0.0003712284,9.86E-05,0.0001763807,1.00E+00,0.0031108287,NA
cg00703843,-0.0001856404,4.93E-05,0.0001763897,1.00E+00,0.0031108287,RAI1
cg22512208,-0.0001605788,4.27E-05,0.0001763959,1.00E+00,0.0031108287,LFNG
cg26093106,-0.0002831255,7.52E-05,0.0001764937,1.00E+00,0.0031123599,NA
cg02751839,-0.0001635325,4.34E-05,0.0001765374,1.00E+00,0.0031129401,GPR37L1
cg04988794,-0.0002258035,6.00E-05,0.0001765906,1.00E+00,0.0031136816,PRDM16
cg03325931,0.0003384078,8.99E-05,0.0001766013,1.00E+00,0.0031136816,BAMBI
cg09722555,-0.000259177,6.89E-05,0.0001766453,1.00E+00,0.0031142657,CCL27
cg18300285,-0.0002013776,5.35E-05,0.0001766812,1.00E+00,0.0031147058,HSPA12A
cg01289206,-0.0002169206,5.76E-05,0.0001767718,1.00E+00,0.0031161117,MOB2
cg03538814,-0.0004380692,0.0001164,0.0001768329,1.00E+00,0.0031169967,LSM14A
cg02959609,-0.0004084346,0.0001085287,0.0001769052,1.00E+00,0.0031180776,RIIAD1
cg07267656,-0.0001461833,3.88E-05,0.000176935,1.00E+00,0.0031184114,RNF41
cg00923873,-0.0002341093,6.22E-05,0.0001769501,1.00E+00,0.0031184857,ADAM33
cg18256949,-0.00014805,3.93E-05,0.0001770457,1.00E+00,0.0031199782,ARL4D
cg11772013,-0.0002612026,6.94E-05,0.000177062,1.00E+00,0.0031200718,SPDEF
cg18355337,0.0014271553,0.0003792599,0.0001771598,1.00E+00,0.0031216031,GP6
cg26410133,0.0003348742,8.90E-05,0.0001771992,1.00E+00,0.0031221051,TRIM33
cg20726664,-0.0004202151,0.0001116724,0.0001772209,1.00E+00,0.0031222191,AKAP13
cg16988166,-0.000141417,3.76E-05,0.0001772342,1.00E+00,0.0031222191,NA
cg11491074,-0.0001007015,2.68E-05,0.0001772384,1.00E+00,0.0031222191,NA
cg11606463,-0.0001618399,4.30E-05,0.0001772946,1.00E+00,0.003122883,NA
cg17839366,-0.0002501956,6.65E-05,0.0001772998,1.00E+00,0.003122883,NA
cg21176475,-0.0001298532,3.45E-05,0.0001773089,1.00E+00,0.003122883,LRRC43
cg10411272,-0.0002535729,6.74E-05,0.0001774992,1.00E+00,0.0031260421,SORBS2
cg04528072,-0.0001716499,4.56E-05,0.0001776565,1.00E+00,0.0031286186,TCF23
cg16822365,0.0002882905,7.66E-05,0.0001776787,1.00E+00,0.0031286596,CHRD
cg00734666,-0.0001463242,3.89E-05,0.0001776807,1.00E+00,0.0031286596,PTPN23
cg07915542,-0.0001148652,3.05E-05,0.0001777255,1.00E+00,0.003129256,IDH1
cg08109646,-0.0002821842,7.50E-05,0.0001778047,1.00E+00,0.0031304575,ZNF683
cg15996284,-0.0001649802,4.39E-05,0.0001779073,1.00E+00,0.0031320707,NA
cg03190944,-0.0002530461,6.73E-05,0.0001779511,1.00E+00,0.003132649,NA
cg21323684,-0.0001513509,4.02E-05,0.0001780708,1.00E+00,0.0031345627,NA
cg13974487,-0.0002269933,6.03E-05,0.0001781092,1.00E+00,0.0031350467,OPCML
cg25705508,-0.0004077606,0.0001083976,0.0001781253,1.00E+00,0.003135136,CHIT1
cg00836007,0.0005251262,0.0001396085,0.0001782687,1.00E+00,0.0031374665,PCMTD1
cg09591519,-0.0003893301,0.0001035077,0.0001783084,1.00E+00,0.0031378697,RPS18
cg11607332,-0.0002152796,5.72E-05,0.0001783135,1.00E+00,0.0031378697,PPY
cg21619594,-0.0002857648,7.60E-05,0.0001783909,1.00E+00,0.003139039,ADCYAP1R1
cg17849972,-0.0001621242,4.31E-05,0.0001784196,1.00E+00,0.0031392436,MYOG
cg15514751,0.0003073468,8.17E-05,0.0001784245,1.00E+00,0.0031392436,CKS1B
cg25501422,0.0002766151,7.35E-05,0.0001785275,1.00E+00,0.0031408616,INHBB
cg01820765,-9.98E-05,2.66E-05,0.0001787508,1.00E+00,0.0031445964,NA
cg24148287,-0.0002686611,7.14E-05,0.000178817,1.00E+00,0.0031455683,NA
cg05781641,-0.0001320557,3.51E-05,0.0001789376,1.00E+00,0.0031474032,HFM1
cg01123787,-0.000250325,6.66E-05,0.0001789449,1.00E+00,0.0031474032,CBFA2T3
cg16020638,-0.0002007007,5.34E-05,0.0001789544,1.00E+00,0.0031474032,NA
cg02092807,-0.0001469477,3.91E-05,0.0001789851,1.00E+00,0.0031477504,PMEPA1
cg00830850,0.0001815333,4.83E-05,0.0001790075,1.00E+00,0.0031479501,NA
cg12868738,0.0008385181,0.000222995,0.0001790989,1.00E+00,0.0031493636,ZNF212
cg20467658,0.0006385267,0.0001698206,0.0001792736,1.00E+00,0.0031522416,LINC00925
cg00910844,-0.0001958223,5.21E-05,0.0001793077,1.00E+00,0.0031526474,NXN
cg12455309,0.000372547,9.91E-05,0.000179686,1.00E+00,0.0031591046,EXOC2
cg11241133,-0.0002217614,5.90E-05,0.000179721,1.00E+00,0.0031595201,STK32C
cg05185311,-0.0001454931,3.87E-05,0.0001797318,1.00E+00,0.0031595201,KCNG4
cg07631575,-0.0001510418,4.02E-05,0.0001797566,1.00E+00,0.0031597619,NA
cg11199506,-0.0003072244,8.17E-05,0.0001798116,1.00E+00,0.0031605351,NA
cg14225168,-0.0003760228,0.0001000274,0.0001798384,1.00E+00,0.0031608117,NOTCH1
cg10681811,-0.0001471096,3.91E-05,0.0001798824,1.00E+00,0.0031613909,NA
cg25215890,0.0004888156,0.000130036,0.0001799224,1.00E+00,0.0031618996,CD48
cg08343600,0.0003173792,8.44E-05,0.000179991,1.00E+00,0.0031629102,HNRNPF
cg03700001,0.0001955669,5.20E-05,0.0001800381,1.00E+00,0.0031635432,FBRSL1
cg09093409,-0.0001393589,3.71E-05,0.0001801753,1.00E+00,0.0031657597,LOC100130987
cg23797615,-0.0002787825,7.42E-05,0.000180188,1.00E+00,0.0031657876,NA
cg25536676,-0.0003013921,8.02E-05,0.0001802205,1.00E+00,0.0031661642,DHCR24
cg24844295,-8.98E-05,2.39E-05,0.0001802541,1.00E+00,0.0031665606,RPTOR
cg18588266,0.0004507947,0.0001199392,0.0001803241,1.00E+00,0.0031675945,NA
cg26291600,0.0003692055,9.82E-05,0.0001804425,1.00E+00,0.0031694794,ALOX5
cg26350092,-0.0001299471,3.46E-05,0.0001804545,1.00E+00,0.0031694956,ZFYVE20
cg10735015,-0.0007221115,0.0001921375,0.0001804803,1.00E+00,0.0031697543,PHACTR2
cg12589972,-0.0004926884,0.0001310949,0.0001805051,1.00E+00,0.0031699951,MSI1
cg02854928,-0.0002995176,7.97E-05,0.0001805768,1.00E+00,0.0031710589,NA
cg04098585,-0.0002065492,5.50E-05,0.0001806092,1.00E+00,0.0031714334,CD28
cg22791904,-0.0001362614,3.63E-05,0.0001807878,1.00E+00,0.0031742317,LPHN1
cg12234374,-0.0001472612,3.92E-05,0.0001807907,1.00E+00,0.0031742317,NA
cg06333012,-0.0002131135,5.67E-05,0.0001808773,1.00E+00,0.003175557,CARNS1
cg09461072,-8.01E-05,2.13E-05,0.0001810382,1.00E+00,0.0031781866,KLHDC4
cg02601475,-0.0007568635,0.0002014292,0.0001810691,1.00E+00,0.0031785333,NA
cg10165518,-0.000149905,3.99E-05,0.0001811101,1.00E+00,0.0031790578,IL27
cg03169257,-0.000198018,5.27E-05,0.000181209,1.00E+00,0.0031805986,NA
cg23651728,-0.0001940765,5.17E-05,0.0001812934,1.00E+00,0.0031818849,BFSP1
cg11984911,-0.0002190146,5.83E-05,0.0001814567,1.00E+00,0.0031845552,NA
cg27500856,-0.0004476461,0.0001191564,0.0001815485,1.00E+00,0.0031859705,NA
cg14203108,-0.0002238018,5.96E-05,0.0001815805,1.00E+00,0.003186142,GPSM1
cg10661191,-0.0001609008,4.28E-05,0.0001815806,1.00E+00,0.003186142,NA
cg13999086,-0.0001695843,4.51E-05,0.000181694,1.00E+00,0.0031879361,FAM180B
cg05804948,-9.77E-05,2.60E-05,0.0001818198,1.00E+00,0.0031899486,NA
cg22025570,-0.0002562309,6.82E-05,0.000181865,1.00E+00,0.0031905456,AJAP1
cg21209457,-0.0001499197,3.99E-05,0.0001819075,1.00E+00,0.003191094,Sep-09
cg11755367,0.0003994266,0.0001063378,0.0001819704,1.00E+00,0.003191872,NA
cg19546012,-0.0001807142,4.81E-05,0.0001819741,1.00E+00,0.003191872,MISP
cg13628022,-0.0005957955,0.000158616,0.0001819935,1.00E+00,0.0031920148,TTLL11
