CHR,Position,CpG,Mapped Gene,Nearest Gene (10 Mb),Gene Group,Coef,SE,P,Direction
17,40805956,cg01603290,,TUBG2      ,,0.003,0.001,1.25E-04,++++++-++
3,58200471,cg13586051,DNASE1L3,DNASE1L3     ,TSS200,0.008,0.002,1.26E-04,+++++++-+
2,114163184,cg24352369,LOC440839,CBWD2      ,Body,0.009,0.002,1.26E-04,++++++-++
7,150754081,cg07184237,CDK5,CDK5       ,Body;Body,0.005,0.001,1.26E-04,++++++-++
2,28022223,cg12510999,RBKS,RBKS       ,Body,0.005,0.001,1.26E-04,+++++++++
8,1012324,cg27509052,,LOC286083    ,,-0.007,0.002,1.26E-04,+--------
1,25254746,cg10951873,RUNX3,RUNX3      ,Body;Body,-0.002,0.001,1.26E-04,--------+
11,66083766,cg05496363,CD248,CD248      ,1stExon,-0.006,0.002,1.26E-04,---------
10,64565772,cg12474798,ADO,ADO       ,3'UTR;1stExon,-0.008,0.002,1.26E-04,+-------+
6,144263450,cg12419863,PLAGL1,PLAGL1      ,Body;Body;Body;Body;Body;Body;Body;Body,0.006,0.002,1.26E-04,++-++++++
15,90543392,cg19925872,ZNF710,ZNF710      ,TSS1500,0.006,0.002,1.26E-04,-+++++++-
11,13983818,cg22805485,SPON1,SPON1      ,TSS200,-0.009,0.002,1.26E-04,---------
6,33246094,cg13882090,B3GALT4,B3GALT4     ,1stExon,-0.004,0.001,1.26E-04,-+--+---+
1,66999813,cg25203031,SGIP1,SGIP1      ,TSS200,0.002,0.001,1.27E-04,++++-+-++
6,18990796,cg02264288,,MIR548A1     ,,0.001,0,1.27E-04,+++-+++++
15,91455366,cg12555233,MAN2A2,MAN2A2      ,Body,0.003,0.001,1.27E-04,++++++-++
17,59494040,cg21915678,,C17orf82     ,,0.008,0.002,1.27E-04,-++++++++
7,150885458,cg09539720,ASB10,ASB10      ,TSS1500;TSS1500;TSS1500,-0.006,0.002,1.27E-04,--------+
16,71523436,cg27659768,ZNF19,ZNF19      ,TSS200,0.007,0.002,1.27E-04,+++-+++++
6,28879849,cg11886965,TRIM27,TRIM27      ,Body,0.005,0.001,1.27E-04,++-+++++-
14,78447640,cg01676105,,ADCK1      ,,0.003,0.001,1.27E-04,++-+++-++
14,74227875,cg13976502,C14orf43,ELMSAN1     ,5'UTR;TSS1500,-0.006,0.002,1.27E-04,---------
3,186220484,cg25947970,,LOC253573    ,,-0.007,0.002,1.28E-04,---------
13,41064482,cg26707718,,,,-0.005,0.001,1.28E-04,---------
17,56326510,cg07845581,LPO,LPO       ,Body;Body;Body,0.004,0.001,1.28E-04,++++++-++
11,27034225,cg26725502,,FIBIN      ,,0.006,0.002,1.28E-04,+++++++++
1,234635574,cg06511330,,TARBP1      ,,0.004,0.001,1.28E-04,+-+++++++
17,54230793,cg18851332,ANKFN1,ANKFN1      ,TSS200,0.005,0.001,1.28E-04,+++++++++
7,157320195,cg22758806,,PTPRN2      ,,-0.004,0.001,1.28E-04,--+------
1,181056650,cg27176729,IER5,IER5       ,TSS1500,0.006,0.002,1.28E-04,++++++++-
9,138861590,cg13567403,,UBAC1      ,,0.007,0.002,1.28E-04,++++++++-
7,158352181,cg17748769,PTPRN2,PTPRN2      ,Body;Body;Body,-0.009,0.002,1.29E-04,-+-+-----
10,1817005,cg20442128,,ADARB2      ,,0.012,0.003,1.29E-04,+-+++++++
1,27247775,cg25614889,NUDC,NUDC       ,TSS1500,-0.005,0.001,1.29E-04,------+-+
20,68170,cg08088390,DEFB125,DEFB125     ,TSS200,0.008,0.002,1.29E-04,+++-+++++
5,1763818,cg21166092,,BACH1      ,,-0.006,0.002,1.29E-04,+--------
13,20797356,cg06952681,GJB6,GJB6       ,Body;Body;Body;Body,0.004,0.001,1.29E-04,+++++++++
14,63743552,cg24774812,RHOJ,RHOJ       ,Body,-0.005,0.001,1.29E-04,--------+
14,60783238,cg16331632,,PPM1A      ,,0.007,0.002,1.29E-04,++++++-++
6,29602390,cg09740560,GABBR1,GABBR1      ,TSS1500;TSS1500,0.008,0.002,1.29E-04,+++++++-+
10,70940659,cg24656492,SUPV3L1,SUPV3L1     ,Body,-0.001,0,1.30E-04,-+-------
15,52861754,cg25003924,ARPP19,ARPP19      ,TSS1500,0.007,0.002,1.30E-04,++++++++-
11,69987299,cg11058904,ANO1,ANO1       ,Body;Body,-0.007,0.002,1.30E-04,+-----+--
5,159191650,cg19013399,,ADRA1B      ,,0.006,0.002,1.30E-04,++++++++-
10,88445317,cg02770097,LDB3,LDB3       ,Body;Body;Body;Body;Body;Body,0.006,0.002,1.30E-04,++++++-++
16,85568220,cg10462803,,GSE1       ,,0.003,0.001,1.31E-04,++++++++-
12,123381003,cg24664957,VPS37B,VPS37B      ,TSS1500,0.006,0.002,1.31E-04,-++++++++
1,209815452,cg20148334,LAMB3,LAMB3      ,Body;Body;Body,0.006,0.002,1.31E-04,+++++++++
19,345778,cg04476874,MIER2,MIER2      ,TSS1500,0.007,0.002,1.31E-04,+++++++++
11,62621258,cg15172739,SNORD30;SNORD22;SNORD31;SNHG1,SNHG1      ,TSS200;TSS1500;TSS1500;Body,-0.006,0.001,1.31E-04,---------
3,9904903,cg27513339,,CIDEC      ,,0.005,0.001,1.31E-04,++?+++-++
2,113416953,cg07986907,SLC20A1,SLC20A1     ,Body,0.006,0.001,1.31E-04,++++++++-
19,2546598,cg10181414,GNG7,GNG7       ,5'UTR,-0.008,0.002,1.31E-04,---------
5,101119566,cg10455971,,SLCO4C1     ,,0.011,0.003,1.31E-04,+++++++++
11,120434880,cg21893358,,ARHGEF12     ,,0.003,0.001,1.31E-04,+-+++++++
3,58523130,cg16587010,ACOX2,ACOX2      ,TSS1500,-0.005,0.001,1.32E-04,-+---+---
7,5527927,cg05711036,FBXL18,FBXL18      ,Body,-0.007,0.002,1.32E-04,-----+---
1,234367443,cg09119043,SLC35F3,SLC35F3     ,Body,-0.011,0.003,1.32E-04,--+-----+
13,20699452,cg05585947,,GJA3       ,,0.011,0.003,1.32E-04,++++-+-++
19,55103698,cg22029476,LILRA1,LILRA1      ,TSS1500,0.005,0.001,1.32E-04,++??+++++
5,132113601,cg13334727,08-Sep,08-Sep,TSS200;TSS1500;TSS1500;TSS1500,0.005,0.001,1.32E-04,++++++++-
15,65394063,cg24778896,LOC390595,,Body,0.005,0.001,1.32E-04,++--++-++
16,54546380,cg07584669,,IRX3       ,,0.008,0.002,1.33E-04,++-++++++
9,5829297,cg13925163,ERMP1,ERMP1      ,Body,-0.004,0.001,1.33E-04,-----+---
1,50489319,cg16260421,AGBL4,AGBL4      ,Body,0.005,0.001,1.33E-04,+++-+++++
7,124430776,cg17816357,,LOC154872    ,,0.006,0.002,1.33E-04,+++++++++
12,62584024,cg24480012,FAM19A2,FAM19A2     ,5'UTR,0.011,0.003,1.33E-04,+++++-+++
11,65197533,cg02036387,,NEAT1      ,,-0.001,0,1.33E-04,-+-+-----
11,125106056,cg03252786,PKNOX2,PKNOX2      ,5'UTR,0.003,0.001,1.33E-04,++++++-++
16,3163228,cg02512168,ZNF205;MGC3771,,5'UTR;Body;5'UTR;Body,0.007,0.002,1.33E-04,+++-+++++
11,11982794,cg05181279,,DKK3       ,,-0.007,0.002,1.33E-04,--?------
7,158823799,cg12257156,VIPR2,VIPR2      ,Body,0.006,0.002,1.33E-04,+++++++++
1,1294881,cg23973885,MXRA8,MXRA8      ,TSS1500,-0.007,0.002,1.33E-04,---------
17,41323562,cg04193083,NBR1,NBR1       ,5'UTR;5'UTR;5'UTR,-0.002,0,1.34E-04,--?-----+
13,22170320,cg22280671,EFHA1,MICU2      ,Body,0.008,0.002,1.34E-04,++++++++-
17,64787784,cg22632947,PRKCA,PRKCA      ,Body,-0.006,0.002,1.34E-04,----+---+
2,225639708,cg13742400,DOCK10,DOCK10      ,Body,0.008,0.002,1.34E-04,++++++++-
12,107855547,cg01686739,BTBD11,BTBD11      ,Body,0.008,0.002,1.34E-04,+++++++--
5,18745861,cg21771528,,CDH18      ,,0.007,0.002,1.34E-04,++??+++++
5,172175765,cg13412545,,DUSP1      ,,0.006,0.002,1.35E-04,+++++++++
6,166921807,cg02135488,RPS6KA2,RPS6KA2     ,Body;Body,-0.004,0.001,1.35E-04,-+-------
11,1027257,cg07729916,MUC6,MUC6       ,Body,-0.004,0.001,1.35E-04,---------
6,1615992,cg18346398,,FOXC1      ,,-0.009,0.002,1.35E-04,-+------+
19,49636535,cg07586008,PPFIA3,PPFIA3      ,Body,0.015,0.004,1.35E-04,++++++-++
6,44101190,cg04074908,TMEM63B,TMEM63B     ,5'UTR,-0.004,0.001,1.35E-04,---------
20,17592922,cg20102019,,RRBP1      ,,-0.006,0.002,1.35E-04,------+--
6,29599259,cg12991385,GABBR1,GABBR1      ,Body;Body,-0.007,0.002,1.36E-04,-----+--+
17,4065983,cg24516497,,ANKFY1      ,,0.006,0.002,1.36E-04,++++++++-
5,77583915,cg11100795,AP3B1,AP3B1      ,Body,0.013,0.003,1.36E-04,+++++++++
1,156786010,cg09888330,SH2D2A;NTRK1,NTRK1      ,Body;Body;TSS200;Body;Body;Body,-0.004,0.001,1.36E-04,---------
2,174877357,cg14510926,,SP3       ,,0.005,0.001,1.36E-04,+++++++++
4,40519094,cg18183961,RBM47,RBM47      ,TSS1500;5'UTR,0.006,0.002,1.36E-04,++++++++-
20,34700329,cg20993403,EPB41L1,EPB41L1     ,TSS200,-0.004,0.001,1.36E-04,---------
5,496464,cg23251141,SLC9A3,SLC9A3      ,Body,0.01,0.003,1.36E-04,+++++++++
2,20424975,cg13758659,SDC1,SDC1       ,5'UTR;TSS200,-0.002,0,1.36E-04,---------
11,60048390,cg02893799,MS4A4A,MS4A7      ,Body,0.006,0.002,1.36E-04,++?++++++
7,1057827,cg05794813,C7orf50,C7orf50     ,Body;Body;Body,-0.005,0.001,1.36E-04,--------+
16,87638380,cg10033488,JPH3,JPH3       ,Body,-0.004,0.001,1.36E-04,--------+
16,86714536,cg02464866,,FOXL1      ,,0.006,0.002,1.37E-04,++-++++++
2,1554849,cg07504727,,,,-0.006,0.002,1.37E-04,------+-+
17,44891810,cg18941031,WNT3,WNT3       ,Body,0.011,0.003,1.37E-04,+-+++++++
8,22774971,cg24639902,PEBP4,PEBP4      ,Body,0.005,0.001,1.37E-04,++++++++-
2,127782813,cg19590598,,BIN1       ,,0.006,0.002,1.37E-04,+++-+++++
12,50067887,cg04070601,FMNL3,FMNL3      ,Body;Body,-0.007,0.002,1.38E-04,---------
12,53497138,cg17818435,SOAT2,ACAT2      ,TSS200,-0.008,0.002,1.38E-04,--------+
2,238480950,cg08263507,,RAB17      ,,-0.004,0.001,1.38E-04,-----++--
19,30097066,cg25959821,POP4,POP4       ,TSS200;TSS200,-0.001,0,1.38E-04,------+--
6,33397233,cg01340991,SYNGAP1,SYNGAP1     ,Body,-0.007,0.002,1.38E-04,------+--
3,101497478,cg08070022,FAM55C,NXPE3      ,TSS1500;TSS1500,0.007,0.002,1.38E-04,+++++++++
2,218843435,cg20225999,,TNS1       ,,0.015,0.004,1.39E-04,++++++-++
1,109941201,cg23616212,SORT1,PSMA5      ,TSS1500,0.006,0.002,1.39E-04,++-++++++
3,185080356,cg01696984,MAP3K13,MAP3K13     ,TSS1500,0.009,0.002,1.39E-04,+-+++++++
11,278394,cg09205751,NLRP6,NLRP6      ,TSS200,-0.006,0.002,1.39E-04,---------
11,47575283,cg25953688,CUGBP1,CELF1      ,TSS1500,0.008,0.002,1.39E-04,++-++++++
8,124284379,cg00078299,ZHX1,ZHX1       ,5'UTR;5'UTR,0.012,0.003,1.39E-04,++++++?+?
9,115512530,cg09619598,SNX30,SNX30      ,TSS1500,-0.003,0.001,1.39E-04,---------
6,35004780,cg11478024,ANKS1A,ANKS1A      ,Body,0.013,0.003,1.39E-04,+++++++++
8,1468625,cg00598912,DLGAP2,DLGAP2      ,5'UTR,-0.003,0.001,1.39E-04,---------
16,49907368,cg04842352,,ZNF423      ,,-0.004,0.001,1.39E-04,-----+---
12,133464921,cg16482759,CHFR,CHFR       ,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500,-0.005,0.001,1.39E-04,--??-----
2,219252614,cg04656051,SLC11A1,SLC11A1     ,Body,0.004,0.001,1.39E-04,++-++++++
15,40347163,cg27155939,,SRP14      ,,-0.006,0.002,1.39E-04,--------+
10,65169511,cg15153264,JMJD1C,JMJD1C      ,Body,-0.002,0.001,1.40E-04,-+----+--
17,6376716,cg00176496,PITPNM3,PITPNM3     ,Body;Body,-0.002,0.001,1.40E-04,-+-+-+--+
7,64023137,cg15824611,ZNF680,ZNF680      ,Body;Body,-0.009,0.002,1.40E-04,--??--?--
13,99142703,cg24247370,STK24,STK24      ,Body;Body,0.004,0.001,1.40E-04,+++++++++
15,58353849,cg12031962,ALDH1A2,ALDH1A2     ,Body;Body,0.017,0.005,1.40E-04,+?+++++++
3,11624533,cg00296038,VGLL4,VGLL4      ,Body;Body;TSS1500,-0.004,0.001,1.40E-04,---------
1,3193280,cg17940849,PRDM16,PRDM16      ,Body;Body,-0.003,0.001,1.40E-04,-----+---
12,13196942,cg07814122,KIAA1467,KIAA1467     ,TSS1500,0.006,0.001,1.41E-04,+++++-+++
16,54404408,cg03467555,,IRX3       ,,0.006,0.001,1.41E-04,+-+++++++
6,27730563,cg26587870,,HIST1H2BL    ,,0.005,0.001,1.41E-04,+-+++++++
19,20585212,cg12484845,ZNF826,ZNF826P     ,5'UTR,-0.005,0.001,1.41E-04,--?-----+
10,77157423,cg16912563,,ZNF503      ,,-0.007,0.002,1.41E-04,---------
19,14142201,cg09538921,IL27RA,IL27RA      ,TSS200,-0.004,0.001,1.41E-04,--+---+--
11,63990575,cg20160996,FERMT3,FERMT3      ,Body;Body,0.002,0.001,1.41E-04,++++++-++
14,23857953,cg21828716,MYH6;MIR208A,MYH6       ,Body;TSS200,-0.004,0.001,1.41E-04,---------
3,10150065,cg18621852,C3orf24,FANCD2OS     ,TSS200;TSS200,0.003,0.001,1.41E-04,+++++++++
4,10459836,cg16430538,ZNF518B,ZNF518B     ,TSS1500,0.008,0.002,1.41E-04,+++++++++
2,178936951,cg02369725,PDE11A,PDE11A      ,1stExon;Body,0.006,0.002,1.41E-04,+++++++++
16,85132373,cg02853355,FAM92B,FAM92B      ,3'UTR,0.01,0.003,1.41E-04,++++++++-
20,749620,cg23289456,C20orf54,SLC52A3     ,TSS1500,-0.005,0.001,1.41E-04,+----+---
19,42390475,cg22338446,ARHGEF1,ARHGEF1     ,5'UTR;Body;5'UTR,-0.008,0.002,1.42E-04,---------
7,127880619,cg03084214,LEP,LEP       ,TSS1500,0.004,0.001,1.42E-04,--+++++++
11,133910341,cg21599336,LOC100128239,LOC100128239   ,Body,0.005,0.001,1.42E-04,+++++++++
7,89841767,cg02206373,STEAP2,STEAP2      ,5'UTR;TSS1500;5'UTR,0.008,0.002,1.42E-04,++--++-++
19,10736038,cg17826679,SLC44A2,SLC44A2     ,TSS200;Body,0.011,0.003,1.42E-04,+++-+++++
4,4763360,cg25097610,,,,0.011,0.003,1.42E-04,++-++++++
12,121342435,cg17345480,SPPL3,SPPL3      ,TSS1500,-0.001,0,1.42E-04,---+----+
15,59157579,cg20481312,,FAM63B      ,,0.006,0.002,1.42E-04,+++++++++
3,196694153,cg05674437,PIGZ,PIGZ       ,5'UTR,0.009,0.002,1.42E-04,+-+++++++
10,77159055,cg03487027,ZNF503,ZNF503      ,Body,-0.008,0.002,1.43E-04,--------+
7,27143370,cg10319053,HOXA2,HOXA2      ,TSS1500,-0.005,0.001,1.43E-04,---------
5,137513806,cg12600695,BRD8;KIF20A,SMAP2      ,Body;Body;Body;TSS1500,-0.001,0,1.43E-04,---+-----
4,111397190,cg09248380,ENPEP,ENPEP      ,TSS200,0.007,0.002,1.43E-04,++?++++++
3,45636060,cg08534342,LIMD1,LIMD1      ,TSS1500,-0.003,0.001,1.43E-04,--+------
1,45189026,cg14658964,C1orf228,C1orf228     ,Body,0.004,0.001,1.43E-04,+-+++++++
1,153928406,cg26530713,CRTC2,CRTC2      ,Body,-0.003,0.001,1.43E-04,---------
6,8195062,cg25944479,,EEF1E1      ,,0.001,0,1.43E-04,+-++++-++
1,1335706,cg00968800,CCNL2;LOC148413,LOC148413    ,TSS1500;TSS1500;TSS1500;TSS1500;Body,-0.003,0.001,1.43E-04,-+---+---
6,146864278,cg20837557,RAB32,RAB32      ,TSS1500,0.005,0.001,1.43E-04,++-++++++
14,105973994,cg26360402,,C14orf80     ,,-0.004,0.001,1.43E-04,---------
6,6737631,cg13809441,,LY86       ,,0.006,0.002,1.43E-04,-++++++++
11,46264544,cg11323439,,CREB3L1     ,,0.005,0.001,1.44E-04,++-++++-+
1,1375556,cg13570957,VWA1,VWA1       ,3'UTR;3'UTR,0.006,0.002,1.44E-04,++++-++++
15,90319174,cg06103331,MESP2,MESP2      ,TSS1500,0.004,0.001,1.44E-04,++++-+-+-
7,99972461,cg20784591,PILRA,PILRA      ,Body;Body;Body,-0.003,0.001,1.44E-04,----++---
20,2634697,cg13272108,NOP56;SNORD110;SNORA51,NOP56      ,Body;TSS200;Body;TSS1500,-0.009,0.002,1.44E-04,---------
11,1774753,cg05968917,HCCA2;CTSD,CTSD       ,Body;Body,-0.004,0.001,1.45E-04,+-+---+--
10,101297642,cg23615741,,NKX2-3      ,,-0.007,0.002,1.45E-04,----+----
8,96085448,cg24928110,,MIR3150B     ,,0.01,0.003,1.45E-04,++++++-++
22,27152635,cg01415562,,MIAT       ,,-0.004,0.001,1.45E-04,-----+---
12,112203795,cg10887937,ALDH2,ALDH2      ,TSS1500,0.004,0.001,1.45E-04,+++-++++-
13,41556559,cg00618312,ELF1,ELF1       ,TSS200;5'UTR,-0.008,0.002,1.46E-04,------+--
5,179816878,cg08577298,,GFPT2      ,,0.005,0.001,1.46E-04,+-++++-++
9,70490853,cg13606720,CBWD3;CBWD5,CBWD3      ,TSS1500;TSS1500,0.006,0.002,1.46E-04,+-??++?++
18,11909634,cg14599440,MPPE1,MPPE1      ,TSS1500,0.008,0.002,1.46E-04,+++++++++
1,171604882,cg06363798,MYOC,MYOC       ,3'UTR,-0.002,0.001,1.46E-04,-----+---
18,8367052,cg11222672,LOC100192426;PTPRM,PTPRM      ,TSS200;Body;Body,0.007,0.002,1.46E-04,-++-+++++
1,2344998,cg23928726,PEX10,PEX10      ,TSS1500;TSS1500,-0.005,0.001,1.46E-04,-----+---
3,112053517,cg07681748,CD200,CD200      ,Body;Body,0.007,0.002,1.46E-04,+?++++++-
2,239330202,cg11708690,,ASB1       ,,-0.005,0.001,1.46E-04,+--------
6,33245328,cg11772919,B3GALT4,B3GALT4     ,1stExon,-0.001,0,1.47E-04,------+-+
11,66736414,cg02130149,,C11orf86     ,,0.003,0.001,1.47E-04,++?++++++
7,6389919,cg20026673,C7orf70,FAM220A     ,TSS1500,0.005,0.001,1.47E-04,+-+++++++
8,74903761,cg13213009,LY96,LY96       ,1stExon,0.013,0.003,1.47E-04,++++++-++
7,27143788,cg13985518,HOXA2,HOXA2      ,TSS1500,-0.008,0.002,1.47E-04,-+---+---
8,72916620,cg24523948,,LOC100132891   ,,0.004,0.001,1.47E-04,+++++++++
17,72931569,cg08818632,OTOP3,OTOP3      ,TSS1500,0.007,0.002,1.47E-04,++++++-++
12,121974146,cg26995224,KDM2B,KDM2B      ,Body;Body,-0.007,0.002,1.47E-04,----+---+
6,1615843,cg21010202,,FOXC1      ,,-0.012,0.003,1.48E-04,+--------
6,166259938,cg17345450,,LINC00473    ,,-0.006,0.002,1.48E-04,---------
13,97877417,cg06340704,MBNL2,MBNL2      ,5'UTR;5'UTR,-0.006,0.002,1.48E-04,-----+--+
15,42210119,cg07202353,EHD4,EHD4       ,Body,0.006,0.002,1.48E-04,++-++++++
19,39970821,cg15752292,TIMM50,TIMM50      ,TSS1500,0.009,0.002,1.48E-04,-+?-+++++
22,38241384,cg01508548,ANKRD54;MIR658,MIR658      ,TSS1500;TSS1500,0.004,0.001,1.48E-04,++--+++++
1,177138043,cg20824840,,BRINP2      ,,0.006,0.002,1.48E-04,+-+++++++
9,70856035,cg03202847,CBWD3,CBWD3      ,TSS1500,0.006,0.002,1.49E-04,++??++?++
15,48623664,cg10457605,DUT,DUT       ,5'UTR;1stExon;TSS1500;5'UTR;1stExon,-0.001,0,1.49E-04,-----++-+
1,2137665,cg14076971,C1orf86,C1orf86     ,5'UTR,0.006,0.001,1.49E-04,+++++++++
3,197081654,cg14875327,,DLG1       ,,0.008,0.002,1.49E-04,++++++-++
12,56618057,cg02602601,OBFC2B,NABP2      ,TSS200,-0.003,0.001,1.49E-04,+--------
19,37063800,cg07816786,ZNF529,ZNF529      ,5'UTR;5'UTR;5'UTR,-0.001,0,1.49E-04,-+-------
17,30454772,cg21640994,,RHOT1      ,,-0.004,0.001,1.49E-04,---------
19,53637178,cg20724579,ZNF415,ZNF415      ,TSS1500;TSS1500;TSS1500;TSS1500,0.007,0.002,1.50E-04,++++++-++
4,10117479,cg22821355,WDR1,WDR1       ,Body;Body,-0.007,0.002,1.50E-04,---------
14,74238381,cg26217402,C14orf43,ELMSAN1     ,5'UTR,-0.008,0.002,1.50E-04,--------+
2,69532619,cg02540026,,GFPT1      ,,0.006,0.002,1.50E-04,-++++++++
11,64084966,cg11296937,PRDX5;TRMT112,TRMT112     ,TSS1500;TSS1500;1stExon;TSS1500,-0.003,0.001,1.50E-04,--?--+--+
6,31781906,cg21467935,HSPA1L;HSPA1A,HSPA1L      ,5'UTR;TSS1500,0.005,0.001,1.50E-04,++-+++-++
10,104182753,cg10754935,FBXL15,FBXL15      ,3'UTR,-0.004,0.001,1.51E-04,-----+--+
19,55435064,cg13650654,NLRP7,NLRP7      ,3'UTR;3'UTR;3'UTR,0.006,0.002,1.51E-04,+++++++++
9,98534327,cg21198712,,LINC00476    ,,0.011,0.003,1.51E-04,+-++++-++
17,26242737,cg02948944,,LYRM9      ,,0.005,0.001,1.51E-04,+++-+++-+
19,11353961,cg10928466,DOCK6,DOCK6      ,Body,-0.005,0.001,1.51E-04,---------
11,822402,cg06072036,PNPLA2,PNPLA2      ,Body,0.009,0.002,1.51E-04,++++++++-
1,227729463,cg03213967,,ZNF678      ,,0.006,0.002,1.51E-04,+++++++++
16,30569043,cg04351258,ZNF764,ZNF764      ,Body,-0.002,0.001,1.51E-04,--??-----
5,55761274,cg23506143,,ANKRD55     ,,0.013,0.004,1.51E-04,+++++++--
7,155079250,cg08166729,,INSIG1      ,,-0.003,0.001,1.52E-04,--?-----+
9,135040296,cg13409439,NTNG2,NTNG2      ,5'UTR,-0.007,0.002,1.52E-04,-----+---
1,224051868,cg07417990,,TP53BP2     ,,-0.005,0.001,1.52E-04,--??-----
1,26146759,cg02745632,FAM54B;LOC646471,MTFR1L      ,5'UTR;5'UTR;Body;1stExon;5'UTR;TSS1500,-0.001,0,1.52E-04,------+--
9,104292242,cg13649209,,RNF20      ,,0.011,0.003,1.52E-04,+-++++?++
11,1975236,cg07435282,MRPL23,RPL23      ,Body,-0.004,0.001,1.52E-04,---------
7,28201106,cg22938901,JAZF1,JAZF1      ,Body,0.006,0.002,1.52E-04,++++++-++
7,45075791,cg12573289,CCM2,OSM       ,Body;Body;Body;Body;Body,-0.007,0.002,1.53E-04,--------+
11,58731357,cg12635602,,LOC283194    ,,0.007,0.002,1.53E-04,++++++-++
18,61157738,cg23824713,SERPINB5,SERPINB5     ,Body,0.007,0.002,1.53E-04,-++++++++
6,28555055,cg11414709,SCAND3,ZBED9      ,1stExon;5'UTR,-0.001,0,1.53E-04,---+-----
11,102962862,cg18928687,DCUN1D5,DCUN1D5     ,1stExon;5'UTR,-0.001,0,1.53E-04,------+-+
11,72463418,cg08167047,ARAP1,ARAP1      ,1stExon;5'UTR,-0.001,0,1.53E-04,-+-+----+
15,74218904,cg20652404,LOXL1,LOXL1      ,5'UTR;1stExon,-0.005,0.001,1.53E-04,-+---+---
3,15139826,cg05734973,ZFYVE20,RBSN       ,5'UTR,-0.005,0.001,1.54E-04,-+-------
5,114193858,cg08530838,,TRIM36      ,,-0.004,0.001,1.54E-04,---------
6,31550612,cg02249390,LTB,LTB       ,TSS1500;TSS1500,-0.006,0.002,1.54E-04,---------
1,155277503,cg06979924,FDPS,FDPS       ,TSS1500;TSS1500;TSS1500,0.003,0.001,1.54E-04,+++-+++++
21,43198283,cg14897238,,RIPK4      ,,0.009,0.003,1.55E-04,+++++++++
4,6284031,cg16417416,WFS1,WFS1       ,Body;Body,0.006,0.002,1.55E-04,+++++++++
6,34206400,cg02654940,HMGA1,HMGA1      ,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;TSS200,-0.005,0.001,1.55E-04,---------
14,104761941,cg24043286,,KIF26A      ,,-0.001,0,1.55E-04,++---+---
22,18064176,cg14372753,SLC25A18,SLC25A18     ,Body,0.005,0.001,1.55E-04,++-+++-++
3,30273887,cg00344308,,RBMS3      ,,0.012,0.003,1.56E-04,++++++++-
2,219861653,cg03817727,,CRYBA2      ,,0.006,0.002,1.56E-04,-+++++-++
17,80279675,cg04546616,SECTM1,SECTM1      ,3'UTR,0.004,0.001,1.56E-04,++++++-++
3,194991685,cg06041567,C3orf21,XXYLT1      ,1stExon,-0.001,0,1.56E-04,-+++-+---
5,153418668,cg10985086,MFAP3;FAM114A2,MFAP3      ,5'UTR;5'UTR;TSS200;Body,-0.001,0,1.56E-04,--+------
7,102553293,cg02724472,LRRC17;FBXL13,FBXL13      ,TSS200;Body;TSS200;Body,0.009,0.002,1.56E-04,++-++++++
17,79380515,cg14170999,BAHCC1,BAHCC1      ,Body,-0.015,0.004,1.56E-04,---+-----
1,21606767,cg23072086,ECE1,,TSS1500;Body;Body;Body,-0.002,0.001,1.56E-04,--------+
5,529258,cg06777516,,SLC9A3      ,,-0.007,0.002,1.56E-04,--?-+----
14,31560529,cg11117717,AP4S1,AP4S1      ,Body,0.005,0.001,1.57E-04,+++++-+++
16,14051717,cg02849507,,ERCC4      ,,0.008,0.002,1.57E-04,+++++++++
12,106633524,cg16477426,CKAP4,CKAP4      ,Body,-0.004,0.001,1.57E-04,-+-------
16,56391437,cg05434641,,GNAO1      ,,0.007,0.002,1.57E-04,++++++-++
6,27880117,cg19173375,OR2B2,OR2B2      ,TSS200,0.01,0.003,1.57E-04,+++++++++
19,15488783,cg03654623,AKAP8,AKAP8      ,Body,-0.006,0.002,1.57E-04,-----+---
12,119591664,cg26103179,SRRM4,SRRM4      ,Body,-0.004,0.001,1.58E-04,----+----
1,193040395,cg09161330,TROVE2,TROVE2      ,Body;Body;5'UTR,-0.004,0.001,1.58E-04,+--------
11,84634620,cg10901805,DLG2,DLG2       ,TSS200;Body,0.004,0.001,1.58E-04,+++++++++
2,99065421,cg23882186,INPP4A,INPP4A      ,5'UTR;5'UTR;5'UTR;5'UTR,-0.007,0.002,1.58E-04,--?-----+
10,134588040,cg09893465,INPP5A,INPP5A      ,Body,-0.003,0.001,1.58E-04,------+--
8,145703049,cg01906600,FOXH1,FOXH1      ,TSS1500,-0.001,0,1.58E-04,-+------+
1,147245168,cg02173484,GJA5,GJA5       ,5'UTR,0.004,0.001,1.58E-04,+++++++++
12,98768240,cg02637282,,,,0.008,0.002,1.58E-04,+++++++++
17,79139625,cg15665342,AATK;LOC388428,AATK       ,Body;Body,-0.005,0.001,1.58E-04,+----++--
15,92715189,cg15841533,SLCO3A1,SLCO3A1     ,3'UTR,-0.003,0.001,1.59E-04,-+-------
1,6063138,cg17718960,,KCNAB2      ,,-0.008,0.002,1.59E-04,--+------
17,28618041,cg20215212,BLMH,BLMH       ,Body,-0.005,0.001,1.59E-04,--------+
4,110224247,cg09926747,COL25A1,COL25A1     ,TSS1500;TSS1500,-0.001,0,1.59E-04,-----+--+
